Commits per Day ,Feature Count ,Lines Changed ,Comment count ,Files Changed
         0.0    ,           15 ,           27 ,            1 ,            2
         0.0025 ,           38 ,          142 ,            5 ,            4
         0.005  ,           30 ,           70 ,            5 ,            6
         0.0075 ,           21 ,          252 ,           12 ,            7
         0.01   ,           19 ,          442 ,            9 ,           11
         0.0125 ,            8 ,          283 ,            9 ,           12
         0.015  ,           10 ,          413 ,           14 ,           14
         0.0175 ,            9 ,          428 ,           12 ,           13
         0.02   ,            7 ,         1369 ,           19 ,           26
         0.0225 ,            8 ,          244 ,           14 ,           12
         0.025  ,            3 ,          371 ,            4 ,            9
         0.0275 ,            4 ,          643 ,           15 ,           11
         0.03   ,           17 ,         2421 ,           44 ,           28
