DifferenceCAndM,Feature Count,Lines Changed,Comment count,Files Changed
0,15,240,1,7
1,20,160,3,6
2,22,190,6,7
3,16,345,13,9
4,7,136,9,6
5,4,446,8,11
6,4,20,5,6
7,7,281,7,9
8,3,1051,2,7
9,4,266,9,11
10,11,1267,21,23
15,7,451,10,11
20,8,180,11,13
25,10,1882,36,14
30,14,592,10,18
35,3,583,13,10
40,6,1285,38,7
45,1,563,18,15
50,2,795,23,10
55,1,41,31,17
60,7,265,13,11
80,2,143,13,10
100,2,2554,16,19
120,1,227,51,4
140,2,1947,29,55
180,1,21,1,3
200,1,205,52,16
220,1,79,22,11
240,2,218,29,4
260,5,57,5,10
